Company Name,Shorthand Company Name,Sector,Industry,Size (2019 Revenue),Net Earnings/Income (2019),IPO Year,S&P 100? (Y/N),Carbon Neutral Goal? (Y/N),Science-Based Target? (Y/N),Carbon Neutral by.... (year),Carbon Neutral Announcement (year),Carbon Goal (if non-zero),Reliance on Offsets? (Y/N),RE100 Commitment? (Y/N),100% Renewable Energy by... (year),2019 Scope 1 (MeT Co2),2019 Scope 2 ,2019 Offsets Purchased,2019 Net Scope 1 + 2 Emissions,2019 Scope 3 ,"2019 Total Scope 1, 2 + 3",2018 Scope 1,2018 Scope 2,2018 Offsets Purchased,2018 Net Scope 1 + 2 Emissions,2018 Scope 3,"2018 Total Scope 1, 2 + Scope 3",2017 Scope 1,2017 Scope 2,2017 Offsets Purchased,2017 Net Scope 1 + 2 Emissions,2017 Scope 3,"2017 Total Scope 1, 2 + 3",2016 Scope 1,2016 Scope 2,2016 Offsets Purchased,2016 Net Scope 1 + 2 Emissions,2016 Scope 3,"2016 Total Scope 1, 2 + 3",2015 Scope 1,2015 Scope 2,2015 Offsets Purchased,2015 Net Scope 1 + 2 Emissions,2015 Scope 3,"2015 Total Scope 1, 2 + 3",Policy Arm?,Initiatives for Carbon Neutrality,Notes,Sources
American Tower,American Tower,Real Estate,Real Estate,$7 580 000 000 ,$1 888 000 000 ,1995,Y,,N,,, N ,,N,N,  556 281 ,  1 780 621 ,  92 145 ,  2 244 757 , NR ,  ,  615 347 ,  1 796 960 ,,  2 412 307 , NR ,  ,  650 755 ,  1 617 395 ,,  2 268 150 , NR ,  , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  ,N,"- Science based targets IN DEVELOPMENT
- Carbon neutral only for US, not global
- Investing over $100 million in energy-efficient technologies at the site level (e.g., transitioning to new lithium-ion batteries [LIBs] and LED lighting) and site-based green energy solutions (e.g., solar photovoltaic power generation)",,
Amgen Inc.,Amgen,Healthcare,Drug Manufacturers,$23 400 000 000 ,$7 840 000 000 ,1983,Y,N,N,,,,N,N,N,  135 954 ,  160 360 ,,  296 314 ,  2 829 355 ,  3 125 669 ,  160 184 ,  159 848 ,,  320 032 ,  2 856 502 ,  3 176 534 ,  163 362 ,  139 035 ,,  302 397 , NR ,  ,  116 643 ,  196 000 ,,  312 643 , NR ,  ,  125 674 ,  281 940 ,,  407 614 , NR ,  ,N,"-10% reduction in scope 1 emissions from base year (2012) by 2020- 119968
-20% reduction in scope 2 emissions form base year - 286679",,
Apple Inc.,Apple,Technology,Electronics,$260 174 000 000,$55 256 000 000,1980,Y,Y,N,2030,2020,  1 083 243 ,N,Y,2018,  50 549 ,  -   ,,  50 549 ,  25 065 200 ,  25 115 749 ,  54 590 ,  8 730 ,,  63 320 ,  24 600 000 ,  24 663 320 ,  45 400 ,  36 250 ,,  81 650 ,  293 440 ,  375 090 ,  34 370 ,  31 000 ,,  65 370 ,  29 583 900 ,  29 649 270 ,  28 100 ,  42 460 ,,  70 560 , NR ,  ,Y,,,https://www.apple.com/environment/pdf/Apple_Environmental_Responsibility_Report_2019.pdf
AT&T Inc.,AT&T,Communication Services,Telecom Services,$181 200 000 000,$13 900 000 000,1983,Y,Y,Y,2035,2020,N,Y,N,N,  990 000 ,  5 530 000 ,,  6 520 000 ,  3 890 000 ,  10 410 000 ,  1 020 000 ,  6 660 000 ,,  7 680 000 ,  4 350 000 ,  12 030 000 ,  1 070 000 ,  6 950 000 ,,  8 020 000 ,  3 620 000 ,  11 640 000 ,  1 080 000 ,  7 810 000 ,,  8 890 000 ,  3 400 000 ,  12 290 000 ,  1 070 000 ,  7 690 000 ,,  8 760 000 ,  3 030 000 ,  11 790 000 ,N,"-Reducing absolute Scope 1 and Scope 2 greenhouse gas (GHG) emissions 26% by 2030, from a 2015 base year
- Virtualization of many network functions
- Transitioning to a low-emissions fleet
- Accelerating energy efficiency and network optimization efforts
- Expanding sustainable feature film and TV production
- Supporting the renewable energy marketplace through PPAs with renewable energy providers
- Investing in carbon offsets",,"- https://about.att.com/csr/home/reporting/issue-brief/greenhouse-gas-emissions.html

-https://about.att.com/story/2020/att_carbon_neutral.html#:~:text=AT%26T%20has%20committed%20to%20be,30%20years%20into%20the%20future."
Bank of America,Bank of America,Financial Services,Banks,$91 240 000 000,$25 998 000 000,1998,Y,Y,N,2020,2016,,Y,,2020,  62 639 ,  17 523 ,,  80 162 ,  4 867 841 ,  4 948 003 ,  85 145 ,  108 614 ,,  193 759 ,  4 819 113 ,  5 012 872 ,  82 298 ,  173 512 ,,  255 810 ,,  255 810 ,  83 473 ,  369 084 ,,  452 557 ,  4 543 197 ,  4 995 754 ,  98 911 ,  1 036 822 ,,  1 135 733 ,  3 513 258 ,  4 648 991 ,N,"- Reduced market-based emissions by 89% from 2010 to 2020, primarily by consolidating space, implementing energy-efficient projects, and puchasing renewable energy
- Purchased 1.8 million mWh of renewable electricity in 2018, which amounts to 91% of global energy use
- Installed on-site solar on offices, financial centers, and ATMs
- Reduced energy use by 40% from 2010 to 2020
- Reduced location-based emissions by 52% from 2010 to 2020, primarily as a result of the energy reductions achieved
- Maintain LEED certification for 25% of buildings globally","Per third source, BofA does not calculate the Scope 3 emissions of its investments, which is a notable omission of their culpability in bankrolling the fossil fuel industry

""Carbon neutral"" refers to their Scope 1 and 2 emissions","- https://about.bankofamerica.com/en-us/global-impact/env-operations-detail.html#fbid=4M45J4eZdUh
- https://newsroom.bankofamerica.com/press-releases/environment/bank-america-achieves-carbon-neutrality
- https://about.bankofamerica.com/assets/pdf/Bank-of-America-2018-ESG-Performance-Data-Summary.pdf
- https://www.environmentalleader.com/2020/01/bank-of-america-announces-carbon-neutrality-one-year-ahead-of-schedule/"
Berkshire Hathaway Inc.,Berkshire Hathaway,Financial Services,Insurance,$254 616 000 000,$81 417 000 000,1839,Y,N,N,,,N,N,N,N, NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  ,N,,,
Biogen Inc.,Biogen,Healthcare,Drug Manufacturers,$13 500 000 000,$4 400 000 000,1978,Y,Y,Y,2015,2015,N,Y,Y,2014,  67 031 ,  106 ,,  67 137 ,  424 537 ,  491 674 ,  68 448 ,  40 172 ,  76 642 ,  31 978 ,  436 265 ,  468 243 ,  61 616 ,  42 408 ,  69 783 ,  34 241 ,  436 265 ,  470 506 ,  61 970 ,  45 899 ,  316 917 ,  (209 048),  254 791 ,  45 743 ,  60 179 ,  38 173 ,  322 563 ,  (224 211),  262 358 ,  38 147 ,N,,,
BlackRock Inc.,BlackRock,Financial Services,Asset Management,$14 539 000 000,$4 484 000 000,1988,Y,N,N,,,,,Y,2020,  5 589 ,  -   ,,  5 589 ,  420 014 ,  425 603 ,  4 807 ,  22 043 ,  -   ,  26 850 ,  44 512 ,  71 362 ,  5 016 ,  22 135 ,  -   ,  27 151 ,  38 685 ,  65 836 ,  4 281 ,  26 086 ,  -   ,  30 367 ,  40 011 ,  70 378 ,  4 846 ,  28 700 ,,  33 546 ,  40 281 ,  73 827 ,N,,"Target to reduce emissions per employee by 45% by 2020, reduced 33% as of 2018",
Boeing,Boeing,Industrials,Aerospace ,$76 559 000 000,($636 000 000),1962,Y,N,N,,,50%,Y,N,N,  613 000 ,  733 000 ,,  1 346 000 ,  290 000 ,  1 636 000 ,  646 000 ,  892 000 ,  -   ,  1 538 000 ,  320 000 ,  1 858 000 ,  626 000 ,  896 000 ,,  1 522 000 ,  285 000 ,  1 807 000 ,  593 000 ,  937 000 ,,  1 530 000 ,  244 000 ,  1 774 000 ,  601 000 ,  902 000 ,,  1 503 000 ,  297 000 ,  1 800 000 ,Y,"-Boeing is working to achieve its environmental goals by 2025, which include reducing greenhouse gas emissions by 25%
- data available for relative decline in emissions, but not actual GHG emissions '
- partnership with suppliers for sustainable manufacture, but no concrete targets for what that means
- Reduce carbon emissions by 50% from 2017 by 2050",Scope 3 includes business travel only,
Booking Holdings Inc.,Booking Holdings,Consumer Discretionary,Hospitality,$15 066 000 000,$4 865 000 000,1999,Y,N,N,,,N,N,N,N, NR , NR ,,  , NR ,  ,  4 812 ,  57 518 ,  -   ,  62 329 , NR ,  ,  3 372 ,  47 963 ,  -   ,  51 335 , NR ,  , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  ,N,,,
Bristol Myers Squibb,Bristol Myers Squibb,Healthcare,Drug Manufacturers,$26 145 000 000,$3 439 000 000,1887,Y,N,N,,,400 000,N,N,N, NR , NR ,,  , NR ,  ,  130 000 ,  230 000 ,,  360 000 , NR ,  ,  125 000 ,  250 000 ,,  375 000 ,,  375 000 ,  130 000 ,  250 000 ,,  380 000 ,,  380 000 , NR , NR ,,  , NR ,  ,N,"-5% (absolute) or greater reduction of water and
greenhouse gas (GHG) emissions from
2015 baseline.",,
Capital One Financial,Capital One,Financial Services,Credit Services,$28 600 000 000,$5 192 000 000,1994,Y,Y,N,2018,2018,,Y,Y,2017,  9 495 ,  135 ,,  9 630 ,  390 975 ,  400 605 ,  9 815 ,  -   ,,  9 815 ,  374 709 ,  384 524 ,  11 624 ,  150 ,,  11 774 ,  215 768 ,  227 542 ,  13 061 ,  176 444 ,,  189 505 ,  213 344 ,  402 849 ,  14 421 ,  181 088 ,,  195 509 ,  83 065 ,  278 574 ,N,"- Green energy offsets, not emissions offsets",Scope 3 emissions are non-exhaustive,https://ir-capitalone.gcs-web.com/news-releases/news-release-details/capital-one-reports-fourth-quarter-2019-net-income-12-billion-or
Caterpillar Inc.,Caterpillar,Industrials,Machinery,$53 800 000 000,$6 093 000 000,1925,Y,N,N,,,N,N,N,N,  905 000 ,  869 000 ,  -   ,  1 774 000 , NR ,  ,  927 000 ,  1 280 000 ,  -   ,  2 207 000 , NR ,  ,  863 000 ,  1 256 000 ,  -   ,  2 119 000 , NR ,  ,  863 000 ,  1 265 000 ,  -   ,  2 128 000 , NR ,  , NR , NR ,,  , NR ,  ,N,"-GHG emissions intensity reduction goal is based on our
combined Scope 1 (direct) and Scope 2 (indirect, marketbased) GHG emissions using a 2006 baseline year. Likewise,
total absolute GHG emissions are a sum of Scope 1 and
Scope 2 (market-based) emissions.
-Targets based on GHG/Energy intensity",,
Charter Communications Inc.,Charter Communications,Communication Services,Entertainment,$45 764 000 000,$1 668 000 000,1999,Y,N,N,,,N,N,N,N, NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  ,N,"- Green energy offsets, not emissions offsets",,
Chevron,Chevron,Energy,Oil and Gas,$146 516 000 000,$2 924 000 000,1879,Y,N,N,,,N,N,N,,  55 000 000 ,  2 000 000 ,  -   ,  57 000 000 ,  413 000 000 ,  470 000 000 ,  59 000 000 ,  3 000 000 ,  -   ,  62 000 000 ,  397 000 000 ,  459 000 000 ,  56 000 000 ,  3 000 000 ,  -   ,  59 000 000 ,  377 000 000 ,  436 000 000 ,  58 000 000 ,  3 000 000 ,  -   ,  61 000 000 ,  365 000 000 ,  426 000 000 ,  58 000 000 ,  3 000 000 ,  -   ,  61 000 000 ,  367 000 000 ,  428 000 000 ,Y,-Significant player in trade associations that influence policy,,
Cisco Systems,Cisco,Technology,Electronics,$51 900 000 000,$11 620 000 000,1990,Y,N,Y,,,180 000,Y,N,N,  41 181 ,  187 428 ,  -   ,  228 609 ,  26 570 997 ,  26 799 606 ,  41 171 ,  205 141 ,  -   ,  246 312 ,  39 520 558 ,  39 766 870 ,  41 926 ,  223 558 ,  -   ,  265 484 ,  34 545 815 ,  34 811 299 ,  53 123 ,  247 933 ,  -   ,  301 056 ,  35 296 126 ,  35 597 182 ,  53 123 ,  247 933 ,  -   ,  301 056 ,  37 937 824 ,  38 238 880 ,Y,"-Goal: Reduce total Cisco Scope 1 and 2 GHG
emissions worldwide by 60 percent absolute by
FY22 (FY07 baseline)
- Use electricity from renewable sources for 85% of electricity by FY22 (KPI tracked not clear/available)
-Date announced 2017",Majority of Scope 3 emissions come from 'use of sold products',
Citigroup Inc.,Citigroup,Financial Services,Banks,$103 449 000 000,$18 171 000 000,1998,Y,N,N,,,N,N,Y,2020,  23 289 ,  593 611 ,  -   ,  616 900 ,  747 913 ,  1 364 813 ,  24 132 ,  623 233 ,  -   ,  647 365 ,  10 703 433 ,  11 350 798 ,  20 951 ,  677 636 ,  -   ,  698 587 ,  18 770 617 ,  19 469 204 ,  23 141 ,  747 748 ,  -   ,  770 889 ,  8 226 622 ,  8 997 511 ,  25 742 ,  789 002 ,  -   ,  814 744 ,  9 739 506 ,  10 554 250 ,Y,-Use policy arm to champion climate-poistive acitivies more broadly,Calculates Scope 3 emissions from investments in select years,
Coca-Cola,Coca Cola,Consumer Staples,Food & Beverage,$37 266 000 000,$38 640 000 000,1892,Y,N,Y,,,4 125 000,N,N,N,  1 830 000 ,  3 730 000 ,  -   ,  5 560 000 , NR ,  ,  1 790 000 ,  3 760 000 ,  -   ,  5 550 000 , NR ,  ,  1 780 000 ,  3 760 000 ,  -   ,  5 540 000 , NR ,  ,  1 600 000 ,  3 800 000 ,  -   ,  5 400 000 , NR ,  ,  1 700 000 ,  3 800 000 ,  -   ,  5 500 000 , NR ,  ,Y,"-And this goal has proven a worthy ambition as we
managed to cut our carbon footprint by 24%
toward our target of a 25% reduction by the
end of 2020, against a 2010 baseline.
-Targets include plastic recycling",,
Colgate-Palmolive,Colgate-Palmolive,Consumer Staples,Household & Personal Products,$15 693 000 000,$2 367 000 000,1806,Y,N,Y,,,525 000,N,N,N,  191 000 ,  283 000 ,  -   ,  474 000 ,  48 680 000 ,  49 154 000 ,  190 000 ,  302 000 ,  -   ,  492 000 ,  48 299 000 ,  48 791 000 ,  195 000 ,  316 000 ,  -   ,  511 000 ,  51 570 000 ,  52 081 000 ,  203 000 ,  324 000 ,  -   ,  527 000 ,  54 710 000 ,  55 237 000 ,  203 000 ,  389 000 ,  -   ,  592 000 ,  54 155 000 ,  54 747 000 ,N,"-Purhcase of renewable energy certificates/ offsets
-Currently at 28% renewable energy",,
Comcast,Comcast,Communication Services,Entertainment,$108 942 000 000,$13 057 000 000,1963,Y,N,N,,,N,N,N,N,  498 455 ,  1 496 771 ,,  1 995 226 , NR ,  ,  505 483 ,  1 458 463 ,,  1 963 946 , NR ,  ,  513 316 ,  1 491 298 ,,  2 004 614 , NR ,  ,  364 556 ,  1 380 854 ,,  1 745 410 , NR ,  , NR , NR ,,  , NR ,  ,N,-Vague infomration about sustainability targets around renewables use and fleet emissions. No scope 1/2/3 information available or SBT,- Scope 2 emissions are location-based for 2017 and 2016 because market-based data was not provided,
ConocoPhillips,ConocoPhillips,Energy,Oil and Gas,$36 670 000 000,$7 189 000 000,1875,Y,Y,N,2050,2020,N,N,N,N,  19 500 000 ,  1 000 000 ,  -   ,  20 500 000 ,  173 400 000 ,  193 900 000 ,  19 700 000 ,  1 100 000 ,  -   ,  20 800 000 ,  159 082 569 ,  179 882 569 ,  19 700 000 ,  1 200 000 ,  -   ,  20 900 000 , NR ,  ,  25 300 000 ,  1 500 000 ,  -   ,  26 800 000 , NR ,  ,  24 800 000 ,  1 300 000 ,  -   ,  26 100 000 , NR ,  ,Y,"-Work with Climate leadership council and API climate working group to develop and implement US carbon tax design
- report includes ESG ratings from Sustainalytics, DJSI, Bloomberg, MSCI, and CDP",- Net Zero includes Scopes 1 and 2,
Costco,Costco,Consumer Staples,Retail,$152 703 000 000,$3 659 000 000,1976,Y,N,N,,,N,N,N,N,  1 108 562 ,  1 473 874 ,,  2 582 436 , NR ,  ,  1 114 967 ,  1 393 453 ,,  2 508 419 , NR ,  ,  970 138 ,  1 388 491 ,,  2 358 629 , NR ,  ,  785 682 ,  1 315 361 ,,  2 101 043 , NR ,  ,  636 727 ,  1 236 737 ,,  1 873 464 , NR ,  ,N,-Vague ,- All Scope 2 figures are location-based because market-based data was not provided,
CVS Health,CVS,Healthcare,Retail,$256 776 000 000,$6 634 000 000,1963,Y,N,Y,,,N,N,N,N,  157 114 ,  1 024 682 ,  -   ,  1 181 796 ,  15 857 184 ,  17 038 980 ,  177 347 ,  1 096 724 ,  -   ,  1 274 071 ,  12 271 483 ,  13 545 554 ,  206 086 ,  1 131 013 ,  -   ,  1 337 099 ,  2 618 841 ,  3 955 940 ,  198 055 ,  1 265 480 ,,  1 463 535 ,  2 609 590 ,  4 073 125 ,  214 156 ,  1 378 660 ,,  1 592 816 , NR ,  ,N,- Reduce aboslute scope 1 and 2 GHG by 36% from 2010 base by 2030,,
Danaher,Danaher,Healthcare,Diagnostics,$17 910 000 000,$2 940 000 000,1969,Y,N,N,,,N,N,N,N, NR , NR ,,  , NR ,  ,  127 698 ,  181 966 ,  -   ,  309 664 , NR ,  , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  ,N,"- Country specific targets, not global effort for carbon neutrality
- Reports GHG emissions for Scope 1 and 2 but normalized by sales figures. Does not report absolute emissions",,
Dow Inc.,Dow,Materials,Chemicals,$42 951 000 000,($1 359 000 000),1897,Y,Y,N,2050,2020,N,N,N,N,  27 600 000 ,  6 050 000 ,  -   ,  33 650 000 ,  91 400 000 ,  125 050 000 ,  28 700 000 ,  6 820 000 ,  -   ,  35 520 000 ,  76 300 000 ,  111 820 000 ,  25 760 540 ,  8 814 966 ,,  34 575 506 ,  78 894 000 ,  113 469 506 ,  25 570 000 ,  9 840 000 ,,  35 410 000 ,  76 350 000 ,  111 760 000 ,  25 240 000 ,  9 710 000 ,,  34 950 000 ,  100 380 000 ,  135 330 000 ,Y,"-Incorporate carbon pricing into business planning and prioritizing capital projects
-Maintain scope 1 &2 emissions below 2006 baseline (42.6 Million tonnes)
- Advocating for a circular economy
-Participate in world economic forum low carbon tech   ",- Scope 2 emissions are location-based,
